vacancy_id,expected_has_phone,expected_phone_count
1,True,1
2,True,1
3,True,1
4,True,1
5,True,1
6,True,1
7,True,1
8,True,1
9,True,1
10,True,1
11,True,1
12,True,1
13,True,1
14,True,1
15,True,1
16,True,1
17,True,1
18,True,1
19,True,1
20,True,1
21,True,1
22,True,1
23,True,1
24,True,1
25,True,1
26,True,1
27,True,1
28,True,1
29,True,1
30,True,1
31,True,1
32,True,1
33,True,1
34,True,1
35,True,1
36,True,1
37,True,1
38,True,1
39,True,1
40,True,1
41,True,1
42,True,1
43,True,1
44,True,1
45,True,1
46,True,1
47,True,1
48,True,1
49,True,1
50,True,1
51,True,1
52,True,1
53,True,1
54,True,1
55,True,1
56,True,1
57,True,1
58,True,1
59,True,1
60,True,1
61,True,1
62,True,1
63,True,1
64,True,1
65,True,1
66,True,1
67,True,1
68,True,1
69,True,1
70,True,1
81,False,0
82,False,0
83,False,0
84,False,0
85,False,0
86,False,0
87,False,0
88,False,0
89,False,0
90,False,0
91,False,0
92,False,0
93,False,0
94,False,0
95,False,0
96,False,0
97,False,0
98,False,0
99,False,0
100,False,0
101,False,0
102,False,0
103,False,0
104,False,0
105,False,0
106,False,0
107,False,0
108,False,0
109,False,0
110,False,0
111,False,0
112,False,0
113,False,0
114,False,0
115,False,0
116,False,0
117,False,0
118,False,0
119,False,0
120,False,0
